category,segment,product,productid,iscompetehide,manufacturerid
Urban,Convenience,Maximus UC-14,649,N,7
Urban,Convenience,Maximus UC-15,650,N,7
Urban,Convenience,Maximus UC-16,651,N,7
Urban,Convenience,Maximus UC-17,652,N,7
Urban,Convenience,Maximus UC-18,653,N,7
Urban,Convenience,Maximus UC-19,654,N,7
Urban,Convenience,Maximus UC-20,655,N,7
Urban,Convenience,Maximus UC-21,656,N,7
Urban,Convenience,Maximus UC-22,657,N,7
Urban,Convenience,Maximus UC-23,658,N,7
Urban,Convenience,Maximus UC-24,659,N,7
Urban,Convenience,Maximus UC-25,660,N,7
Urban,Convenience,Maximus UC-26,661,N,7
Urban,Convenience,Maximus UC-27,662,N,7
Urban,Convenience,Maximus UC-28,663,N,7
Urban,Convenience,Maximus UC-29,664,N,7
Urban,Convenience,Maximus UC-30,665,N,7
Urban,Convenience,Maximus UC-31,666,N,7
Urban,Convenience,Maximus UC-32,667,N,7
Urban,Convenience,Maximus UC-33,668,N,7
Urban,Convenience,Maximus UC-34,669,N,7
Urban,Convenience,Maximus UC-35,670,N,7
Urban,Convenience,Maximus UC-36,671,N,7
Urban,Convenience,Maximus UC-37,672,N,7
Urban,Convenience,Maximus UC-38,673,N,7
Urban,Convenience,Maximus UC-39,674,N,7
Urban,Convenience,Maximus UC-40,675,N,7
Urban,Convenience,Maximus UC-41,676,N,7
Urban,Convenience,Maximus UC-42,677,N,7
Urban,Convenience,Maximus UC-43,678,N,7
Urban,Convenience,Maximus UC-44,679,N,7
Urban,Convenience,Maximus UC-45,680,N,7
Urban,Convenience,Maximus UC-46,681,N,7
Urban,Convenience,Maximus UC-47,682,N,7
Urban,Convenience,Maximus UC-48,683,N,7
Urban,Convenience,Maximus UC-49,684,N,7
Urban,Convenience,Maximus UC-50,685,N,7
Urban,Convenience,Maximus UC-51,686,N,7
Urban,Convenience,Maximus UC-52,687,N,7
Urban,Convenience,Maximus UC-53,688,N,7
Urban,Convenience,Maximus UC-54,689,N,7
Urban,Convenience,Maximus UC-55,690,N,7
Urban,Convenience,Maximus UC-56,691,N,7
Urban,Convenience,Maximus UC-57,692,N,7
Urban,Convenience,Maximus UC-58,693,N,7
Urban,Convenience,Abbas UC-01,189,N,1
Urban,Convenience,Abbas UC-02,190,N,1
Urban,Convenience,Abbas UC-03,191,N,1
Urban,Convenience,Abbas UC-04,192,N,1
Urban,Convenience,Abbas UC-05,193,N,1
Urban,Convenience,Abbas UC-06,194,N,1
Urban,Convenience,Abbas UC-07,195,N,1
Urban,Convenience,Abbas UC-08,196,N,1
Urban,Convenience,Fama UC-01,387,N,5
Urban,Convenience,Fama UC-02,388,N,5
Urban,Convenience,Fama UC-03,389,N,5
Urban,Convenience,Fama UC-04,390,N,5
Urban,Convenience,Fama UC-05,391,N,5
Urban,Convenience,Natura UC-01,938,N,8
Urban,Convenience,Natura UC-02,939,N,8
Urban,Convenience,Natura UC-03,940,N,8
Urban,Convenience,Natura UC-04,941,N,8
Urban,Convenience,Natura UC-05,942,N,8
Urban,Convenience,Natura UC-06,943,N,8
Urban,Convenience,Natura UC-07,944,N,8
Urban,Convenience,Natura UC-08,945,N,8
Urban,Convenience,Natura UC-09,946,N,8
Urban,Convenience,Natura UC-10,947,N,8
Urban,Convenience,Natura UC-11,948,N,8
Urban,Convenience,Natura UC-12,949,N,8
Urban,Convenience,Natura UC-13,950,N,8
Urban,Convenience,Natura UC-14,951,N,8
Urban,Convenience,Natura UC-15,952,N,8
Urban,Convenience,Natura UC-16,953,N,8
Urban,Convenience,Natura UC-17,954,N,8
Urban,Convenience,Natura UC-18,955,N,8
Urban,Convenience,Natura UC-19,956,N,8
Urban,Convenience,Natura UC-20,957,N,8
Urban,Convenience,Natura UC-21,958,N,8
Urban,Convenience,Natura UC-22,959,N,8
Urban,Convenience,Natura UC-23,960,N,8
Urban,Convenience,Natura UC-24,961,N,8
Urban,Convenience,Natura UC-25,962,N,8
Urban,Convenience,Natura UC-26,963,N,8
Urban,Convenience,Natura UC-27,964,N,8
Urban,Convenience,Natura UC-28,965,N,8
Urban,Convenience,Natura UC-29,966,N,8
Urban,Convenience,Natura UC-30,967,N,8
Urban,Convenience,Natura UC-31,968,N,8
Urban,Convenience,Natura UC-32,969,N,8
Urban,Convenience,Natura UC-33,970,N,8
Urban,Convenience,Natura UC-34,971,N,8
Urban,Convenience,Natura UC-35,972,N,8
Urban,Convenience,Natura UC-36,973,N,8
Urban,Convenience,Natura UC-37,974,N,8
Urban,Convenience,Natura UC-38,975,N,8
Urban,Convenience,Natura UC-39,976,N,8
Urban,Convenience,Natura UC-40,977,N,8
Urban,Convenience,Natura UC-41,978,N,8
Urban,Convenience,Natura UC-42,979,N,8
Urban,Convenience,Natura UC-43,980,N,8
Urban,Convenience,Natura UC-44,981,N,8
Urban,Convenience,Natura UC-45,982,N,8
Urban,Convenience,Natura UC-46,983,N,8
Urban,Convenience,Natura UC-47,984,N,8
Urban,Convenience,Natura UC-48,985,N,8
Urban,Convenience,Natura UC-49,986,N,8
Urban,Convenience,Natura UC-50,987,N,8
Urban,Convenience,Natura UC-51,988,N,8
Urban,Convenience,Natura UC-52,989,N,8
Urban,Convenience,Natura UC-53,990,N,8
Urban,Convenience,Natura UC-54,991,N,8
Urban,Convenience,Natura UC-55,992,N,8
Urban,Convenience,Natura UC-56,993,N,8
Urban,Convenience,Natura UC-57,994,N,8
Urban,Convenience,Natura UC-58,995,N,8
Urban,Convenience,Natura UC-59,996,N,8
Urban,Convenience,Natura UC-60,997,N,8
Urban,Convenience,Natura UC-61,998,N,8
Urban,Convenience,Natura UC-62,999,N,8
Urban,Convenience,Palma UC-01,1029,N,9
Urban,Convenience,Palma UC-02,1030,N,9
Urban,Convenience,Palma UC-03,1031,N,9
Urban,Convenience,Palma UC-04,1032,N,9
Urban,Convenience,Palma UC-05,1033,N,9
Urban,Convenience,Palma UC-06,1034,N,9
Urban,Convenience,Palma UC-07,1035,N,9
Urban,Convenience,Palma UC-08,1036,N,9
Urban,Convenience,Palma UC-09,1037,N,9
Urban,Convenience,Palma UC-10,1038,N,9
Urban,Convenience,Palma UC-11,1039,N,9
Urban,Convenience,Palma UC-12,1040,N,9
Urban,Convenience,Palma UC-13,1041,N,9
Urban,Convenience,Palma UC-14,1042,N,9
Urban,Convenience,Pirum UC-01,1199,N,10
Urban,Convenience,Pirum UC-02,1200,N,10
Urban,Convenience,Pirum UC-03,1201,N,10
Urban,Convenience,Pirum UC-04,1202,N,10
Urban,Convenience,Pirum UC-05,1203,N,10
Urban,Convenience,Pirum UC-06,1204,N,10
Urban,Convenience,Pirum UC-07,1205,N,10
Urban,Convenience,Pirum UC-08,1206,N,10
Urban,Convenience,Pirum UC-09,1207,N,10
Urban,Convenience,Pirum UC-10,1208,N,10
Urban,Convenience,Pirum UC-11,1209,N,10
Urban,Convenience,Pirum UC-12,1210,N,10
Urban,Convenience,Pirum UC-13,1211,N,10
Urban,Convenience,Pirum UC-14,1212,N,10
Urban,Convenience,Pirum UC-15,1213,N,10
Urban,Convenience,Pirum UC-16,1214,N,10
Urban,Convenience,Pirum UC-17,1215,N,10
Urban,Convenience,Pirum UC-18,1216,N,10
Urban,Convenience,Pirum UC-19,1217,N,10
Urban,Convenience,Pirum UC-20,1218,N,10
Urban,Convenience,Pirum UC-21,1219,N,10
Urban,Convenience,Pirum UC-22,1220,N,10
Urban,Convenience,Pirum UC-23,1221,N,10
Urban,Convenience,Pirum UC-24,1222,N,10
Urban,Convenience,Pirum UC-25,1223,N,10
Urban,Convenience,Pirum UC-26,1224,N,10
Urban,Convenience,Pirum UC-27,1225,N,10
Urban,Convenience,Pirum UC-28,1226,N,10
Urban,Convenience,Pirum UC-29,1227,N,10
Urban,Convenience,Pirum UC-30,1228,N,10
Urban,Convenience,Pirum UC-31,1229,N,10
Urban,Convenience,Pirum UC-32,1230,N,10
Urban,Convenience,Pirum UC-33,1231,N,10
Urban,Convenience,Pirum UC-34,1232,N,10
Urban,Convenience,Salvus UC-01,1689,N,13
Urban,Convenience,Pomum UC-01,1795,N,11
Urban,Convenience,Pomum UC-02,1796,N,11
Urban,Convenience,Pomum UC-03,1797,N,11
Urban,Convenience,Pomum UC-04,1798,N,11
Urban,Convenience,Pomum UC-05,1799,N,11
Urban,Convenience,Pomum UC-06,1800,N,11
Urban,Convenience,Pomum UC-07,1801,N,11
Urban,Convenience,Pomum UC-08,1802,N,11
Urban,Convenience,Pomum UC-09,1803,N,11
Urban,Convenience,Pomum UC-10,1804,N,11
Urban,Convenience,Pomum UC-11,1805,N,11
Urban,Convenience,Leo UC-01,1882,N,6
Urban,Convenience,Leo UC-02,1883,N,6
Urban,Convenience,Leo UC-03,1884,N,6
Urban,Convenience,Leo UC-04,1885,N,6
Urban,Convenience,Leo UC-05,1886,N,6
Urban,Convenience,Leo UC-06,1887,N,6
Urban,Convenience,Leo UC-07,1888,N,6
Urban,Convenience,Leo UC-08,1889,N,6
Urban,Convenience,Leo UC-09,1890,N,6
Urban,Convenience,Leo UC-10,1891,N,6
Urban,Convenience,Leo UC-11,1892,N,6
Urban,Convenience,Leo UC-12,1893,N,6
Urban,Convenience,Leo UC-13,1894,N,6
Urban,Convenience,Leo UC-14,1895,N,6
Urban,Convenience,Leo UC-15,1896,N,6
Urban,Convenience,Leo UC-16,1897,N,6
Urban,Convenience,Leo UC-17,1898,N,6
Urban,Convenience,Leo UC-18,1899,N,6
Urban,Convenience,Leo UC-19,1900,N,6
Urban,Convenience,Leo UC-20,1901,N,6
Urban,Convenience,Leo UC-21,1902,N,6
Urban,Convenience,Leo UC-22,1903,N,6
Urban,Convenience,Leo UC-23,1904,N,6
Urban,Convenience,Leo UC-24,1905,N,6
Urban,Convenience,Leo UC-25,1906,N,6
Urban,Convenience,Leo UC-26,1907,N,6
Urban,Convenience,Currus UC-01,2066,N,4
Urban,Convenience,Currus UC-02,2067,N,4
Urban,Convenience,Currus UC-03,2068,N,4
Urban,Convenience,Currus UC-04,2069,N,4
Urban,Convenience,Currus UC-05,2070,N,4
Urban,Convenience,Currus UC-06,2071,N,4
Urban,Convenience,Currus UC-07,2072,N,4
Urban,Convenience,Currus UC-08,2073,N,4
Urban,Convenience,Currus UC-09,2074,N,4
Urban,Convenience,Currus UC-10,2075,N,4
Urban,Convenience,Currus UC-11,2076,N,4
Urban,Convenience,Currus UC-12,2077,N,4
Urban,Convenience,Currus UC-13,2078,N,4
Urban,Convenience,Currus UC-14,2079,N,4
Urban,Convenience,Currus UC-15,2080,N,4
Urban,Convenience,Currus UC-16,2081,N,4
Urban,Convenience,Currus UC-17,2082,N,4
Urban,Convenience,Currus UC-18,2083,N,4
Urban,Convenience,Currus UC-19,2084,N,4
Urban,Convenience,Currus UC-20,2085,N,4
Urban,Convenience,Currus UC-21,2086,N,4
Urban,Convenience,Currus UC-22,2087,N,4
Urban,Convenience,Currus UC-23,2088,N,4
Urban,Convenience,Currus UC-24,2089,N,4
Urban,Convenience,Currus UC-25,2090,N,4
Urban,Convenience,Currus UC-26,2091,N,4
Urban,Convenience,Currus UC-27,2092,N,4
Urban,Convenience,Currus UC-28,2093,N,4
Urban,Convenience,Currus UC-29,2094,N,4
Urban,Convenience,Currus UC-30,2095,N,4
Urban,Convenience,Currus UC-31,2096,N,4
Urban,Convenience,Victoria UC-01,2171,N,14
Urban,Convenience,Victoria UC-02,2172,N,14
Urban,Convenience,Victoria UC-03,2173,N,14
Urban,Convenience,Victoria UC-04,2174,N,14
Urban,Convenience,Victoria UC-05,2175,N,14
Urban,Convenience,Victoria UC-06,2176,N,14
Urban,Convenience,Victoria UC-07,2177,N,14
Urban,Convenience,Victoria UC-08,2178,N,14
Urban,Convenience,Victoria UC-09,2179,N,14
Urban,Convenience,Victoria UC-10,2180,N,14
Urban,Convenience,Victoria UC-11,2181,N,14
Urban,Convenience,Victoria UC-12,2182,N,14
Urban,Convenience,Victoria UC-13,2183,N,14
Urban,Convenience,Victoria UC-14,2184,N,14
Urban,Convenience,Victoria UC-15,2185,N,14
Urban,Convenience,Victoria UC-16,2186,N,14
Urban,Convenience,Aliqui UC-01,2353,N,2
Urban,Convenience,Aliqui UC-02,2354,N,2
Urban,Convenience,Aliqui UC-03,2355,N,2
Urban,Convenience,Aliqui UC-04,2356,N,2
Urban,Convenience,Aliqui UC-05,2357,N,2
Urban,Convenience,Aliqui UC-06,2358,N,2
Urban,Convenience,Aliqui UC-07,2359,N,2
Urban,Convenience,Aliqui UC-08,2360,N,2
Urban,Convenience,Aliqui UC-09,2361,N,2
Urban,Convenience,Aliqui UC-10,2362,N,2
Urban,Convenience,Aliqui UC-11,2363,N,2
Urban,Convenience,Aliqui UC-12,2364,N,2
Urban,Convenience,Aliqui UC-13,2365,N,2
Urban,Convenience,Aliqui UC-14,2366,N,2
Urban,Convenience,Aliqui UC-15,2367,N,2
Urban,Convenience,Aliqui UC-16,2368,N,2
Urban,Convenience,Aliqui UC-17,2369,N,2
Urban,Convenience,Aliqui UC-18,2370,N,2
Urban,Convenience,Aliqui UC-19,2371,N,2
Urban,Convenience,Aliqui UC-20,2372,N,2
Urban,Convenience,Aliqui UC-21,2373,N,2
Urban,Convenience,Aliqui UC-22,2374,N,2
Urban,Convenience,Aliqui UC-23,2375,N,2
Urban,Convenience,Aliqui UC-24,2376,N,2
Urban,Convenience,Aliqui UC-25,2377,N,2
Urban,Convenience,Aliqui UC-26,2378,N,2
Urban,Convenience,Aliqui UC-27,2379,N,2
Urban,Convenience,Aliqui UC-28,2380,N,2
Urban,Convenience,Aliqui UC-29,2381,N,2
Urban,Convenience,Aliqui UC-30,2382,N,2
Urban,Convenience,Aliqui UC-31,2383,N,2
Urban,Convenience,Aliqui UC-32,2384,N,2
Urban,Convenience,Aliqui UC-33,2385,N,2
Urban,Convenience,Aliqui UC-34,2386,N,2
Urban,Convenience,Aliqui UC-35,2387,N,2
Urban,Convenience,Aliqui UC-36,2388,N,2
Urban,Convenience,Aliqui UC-37,2389,N,2
Urban,Convenience,Aliqui UC-38,2390,N,2
Urban,Convenience,Aliqui UC-39,2391,N,2
Urban,Extreme,Abbas UE-01,173,N,1
Urban,Extreme,Abbas UE-02,174,N,1
Urban,Extreme,Abbas UE-03,175,N,1
Urban,Extreme,Abbas UE-04,176,N,1
Urban,Extreme,Abbas UE-05,177,N,1
Urban,Extreme,Abbas UE-06,178,N,1
Urban,Extreme,Abbas UE-07,179,N,1
Urban,Extreme,Abbas UE-08,180,N,1
Urban,Extreme,Abbas UE-09,181,N,1
Urban,Extreme,Abbas UE-10,182,N,1
Urban,Extreme,Abbas UE-11,183,N,1
Urban,Extreme,Abbas UE-12,184,N,1
Urban,Extreme,Abbas UE-13,185,N,1
Urban,Extreme,Abbas UE-14,186,N,1
Urban,Extreme,Abbas UE-15,187,N,1
Urban,Extreme,Abbas UE-16,188,N,1
Urban,Extreme,Maximus UE-01,513,N,7
Urban,Extreme,Maximus UE-02,514,N,7
Urban,Extreme,Maximus UE-03,515,N,7
Urban,Extreme,Maximus UE-04,516,N,7
Urban,Extreme,Maximus UE-05,517,N,7
Urban,Extreme,Maximus UE-06,518,N,7
Urban,Extreme,Maximus UE-07,519,N,7
Urban,Extreme,Maximus UE-08,520,N,7
Urban,Extreme,Maximus UE-09,521,N,7
Urban,Extreme,Maximus UE-10,522,N,7
Urban,Extreme,Maximus UE-11,523,N,7
Urban,Extreme,Maximus UE-12,524,N,7
Urban,Extreme,Maximus UE-13,525,N,7
Urban,Extreme,Maximus UE-14,526,N,7
Urban,Extreme,Maximus UE-15,527,N,7
Urban,Extreme,Maximus UE-16,528,N,7
Urban,Extreme,Maximus UE-17,529,N,7
Urban,Extreme,Maximus UE-18,530,N,7
Urban,Extreme,Maximus UE-19,531,N,7
Urban,Extreme,Maximus UE-20,532,N,7
Urban,Extreme,Maximus UE-21,533,N,7
Urban,Extreme,Maximus UE-22,534,N,7
Urban,Extreme,Maximus UE-23,535,N,7
Urban,Extreme,Natura UE-01,892,N,8
Urban,Extreme,Natura UE-02,893,N,8
Urban,Extreme,Natura UE-03,894,N,8
Urban,Extreme,Natura UE-04,895,N,8
Urban,Extreme,Natura UE-05,896,N,8
Urban,Extreme,Natura UE-06,897,N,8
Urban,Extreme,Natura UE-07,898,N,8
Urban,Extreme,Natura UE-08,899,N,8
Urban,Extreme,Natura UE-09,900,N,8
Urban,Extreme,Natura UE-10,901,N,8
Urban,Extreme,Natura UE-11,902,N,8
Urban,Extreme,Natura UE-12,903,N,8
Urban,Extreme,Natura UE-13,904,N,8
Urban,Extreme,Natura UE-14,905,N,8
Urban,Extreme,Natura UE-15,906,N,8
Urban,Extreme,Natura UE-16,907,N,8
Urban,Extreme,Natura UE-17,908,N,8
Urban,Extreme,Natura UE-18,909,N,8
Urban,Extreme,Natura UE-19,910,N,8
Urban,Extreme,Natura UE-20,911,N,8
Urban,Extreme,Natura UE-21,912,N,8
Urban,Extreme,Natura UE-22,913,N,8
Urban,Extreme,Natura UE-23,914,N,8
Urban,Extreme,Natura UE-24,915,N,8
Urban,Extreme,Natura UE-25,916,N,8
Urban,Extreme,Natura UE-26,917,N,8
Urban,Extreme,Natura UE-27,918,N,8
Urban,Extreme,Natura UE-28,919,N,8
Urban,Extreme,Natura UE-29,920,N,8
Urban,Extreme,Natura UE-30,921,N,8
Urban,Extreme,Natura UE-31,922,N,8
Urban,Extreme,Natura UE-32,923,N,8
Urban,Extreme,Natura UE-33,924,N,8
Urban,Extreme,Natura UE-34,925,N,8
Urban,Extreme,Natura UE-35,926,N,8
Urban,Extreme,Natura UE-36,927,N,8
Urban,Extreme,Natura UE-37,928,N,8
Urban,Extreme,Natura UE-38,929,N,8
Urban,Extreme,Natura UE-39,930,N,8
Urban,Extreme,Natura UE-40,931,N,8
Urban,Extreme,Natura UE-41,932,N,8
Urban,Extreme,Natura UE-42,933,N,8
Urban,Extreme,Natura UE-43,934,N,8
Urban,Extreme,Natura UE-44,935,N,8
Urban,Extreme,Natura UE-45,936,N,8
Urban,Extreme,Natura UE-46,937,N,8
Urban,Extreme,Pirum UE-01,1165,N,10
Urban,Extreme,Pirum UE-02,1166,N,10
Urban,Extreme,Pirum UE-03,1167,N,10
Urban,Extreme,Pirum UE-04,1168,N,10
Urban,Extreme,Pirum UE-05,1169,N,10
Urban,Extreme,Pirum UE-06,1170,N,10
Urban,Extreme,Pirum UE-07,1171,N,10
Urban,Extreme,Pirum UE-08,1172,N,10
Urban,Extreme,Pirum UE-09,1173,N,10
Urban,Extreme,Pirum UE-10,1174,N,10
Urban,Extreme,Pirum UE-11,1175,N,10
Urban,Extreme,Pirum UE-12,1176,N,10
Urban,Extreme,Pirum UE-13,1177,N,10
Urban,Extreme,Pirum UE-14,1178,N,10
Urban,Extreme,Pirum UE-15,1179,N,10
Urban,Extreme,Pirum UE-16,1180,N,10
Urban,Extreme,Pirum UE-17,1181,N,10
Urban,Extreme,Pirum UE-18,1182,N,10
Urban,Extreme,Pirum UE-19,1183,N,10
Urban,Extreme,Pirum UE-20,1184,N,10
Urban,Extreme,Pirum UE-21,1185,N,10
Urban,Extreme,Pirum UE-22,1186,N,10
Urban,Extreme,Pirum UE-23,1187,N,10
Urban,Extreme,Pirum UE-24,1188,N,10
Urban,Extreme,Pirum UE-25,1189,N,10
Urban,Extreme,Pirum UE-26,1190,N,10
Urban,Extreme,Pirum UE-27,1191,N,10
Urban,Extreme,Pirum UE-28,1192,N,10
Urban,Extreme,Pirum UE-29,1193,N,10
Urban,Extreme,Pirum UE-30,1194,N,10
Urban,Extreme,Pirum UE-31,1195,N,10
Urban,Extreme,Pirum UE-32,1196,N,10
Urban,Extreme,Pirum UE-33,1197,N,10
Urban,Extreme,Pirum UE-34,1198,N,10
Urban,Extreme,Quibus UE-01,1671,N,12
Urban,Extreme,Quibus UE-02,1672,N,12
Urban,Extreme,Quibus UE-03,1673,N,12
Urban,Extreme,Quibus UE-04,1674,N,12
Urban,Extreme,Quibus UE-05,1675,N,12
Urban,Extreme,Quibus UE-06,1676,N,12
Urban,Extreme,Quibus UE-07,1677,N,12
Urban,Extreme,Quibus UE-08,1678,N,12
Urban,Extreme,Quibus UE-09,1679,N,12
Urban,Extreme,Quibus UE-10,1680,N,12
Urban,Extreme,Quibus UE-11,1681,N,12
Urban,Extreme,Quibus UE-12,1682,N,12
Urban,Extreme,Quibus UE-13,1683,N,12
Urban,Extreme,Quibus UE-14,1684,N,12
Urban,Extreme,Quibus UE-15,1685,N,12
Urban,Extreme,Quibus UE-16,1686,N,12
Urban,Extreme,Quibus UE-17,1687,N,12
Urban,Extreme,Salvus UE-01,1688,N,13
Urban,Extreme,Pomum UE-01,1766,N,11
Urban,Extreme,Pomum UE-02,1767,N,11
Urban,Extreme,Pomum UE-03,1768,N,11
Urban,Extreme,Pomum UE-04,1769,N,11
Urban,Extreme,Pomum UE-05,1770,N,11
Urban,Extreme,Pomum UE-06,1771,N,11
Urban,Extreme,Pomum UE-07,1772,N,11
Urban,Extreme,Pomum UE-08,1773,N,11
Urban,Extreme,Pomum UE-09,1774,N,11
Urban,Extreme,Pomum UE-10,1775,N,11
Urban,Extreme,Pomum UE-11,1776,N,11
Urban,Extreme,Pomum UE-12,1777,N,11
Urban,Extreme,Pomum UE-13,1778,N,11
Urban,Extreme,Pomum UE-14,1779,N,11
Urban,Extreme,Pomum UE-15,1780,N,11
Urban,Extreme,Pomum UE-16,1781,N,11
Urban,Extreme,Pomum UE-17,1782,N,11
Urban,Extreme,Pomum UE-18,1783,N,11
Urban,Extreme,Pomum UE-19,1784,N,11
Urban,Extreme,Pomum UE-20,1785,N,11
Urban,Extreme,Pomum UE-21,1786,N,11
Urban,Extreme,Pomum UE-22,1787,N,11
Urban,Extreme,Pomum UE-23,1788,N,11
Urban,Extreme,Pomum UE-24,1789,N,11
Urban,Extreme,Pomum UE-25,1790,N,11
Urban,Extreme,Pomum UE-26,1791,N,11
Urban,Extreme,Pomum UE-27,1792,N,11
Urban,Extreme,Pomum UE-28,1793,N,11
Urban,Extreme,Pomum UE-29,1794,N,11
Urban,Extreme,Currus UE-01,2041,N,4
Urban,Extreme,Currus UE-02,2042,N,4
Urban,Extreme,Currus UE-03,2043,N,4
Urban,Extreme,Currus UE-04,2044,N,4
Urban,Extreme,Currus UE-05,2045,N,4
